States,Plant_name,Owner_name,Coutry_name,LAT,LON,net_caol_generation,net_oil_generation,net_gas_generation,net_nuclear_generation,net_hydro_generation,new_biomass_generation,net_wind_generation,net_solar_generation,net_geothermal_generation,net_fossil_generation,net_unknownfuel_generation,net_nonrenewables_generation,net_renewables_generation,net_nonhydrorenewables_generations,net_combustion_generation,net_noncombusition_generation,coal_generation_percentage,oil_generation_percentage,gas_generation_percentage,nuclear_generation_percentage,hydro_generation_percentage,biomass_generation_percentage,wind_generation_percentage,solar_generation_percentage,geothermal_generation_percentage,fossile_generation_percentage,unknowfuel_genertion_percentage,nonrenewable_generation_percentage,renewable_generation_percentage,nonhydrorenewable_generation_percentage,combustion_generation_percentage,noncombustion_generation_percentage
AK,7-Mile Ridge Wind Project,Alaska Power and Telephone Co,Southeast Fairbanks,63.210689,-143.247156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Agrium Kenai Nitrogen Operations,Homer Electric Assn Inc,Kenai Peninsula,60.6732,-151.3784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Alakanuk,"Alaska Village Elec Coop, Inc",Wade Hampton,62.6833,-164.6544,0,(14),0,0,0,0,0,0,0,0,0,(14),0,0,(14),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Allison Creek Hydro,"Copper Valley Elec Assn, Inc",Valdez Cordova,61.084444,-146.353333,0,0,0,0,"19,135",0,0,0,0,0,0,0,"19,135",0,0,"19,135",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AK,Ambler,"Alaska Village Elec Coop, Inc",Northwest Arctic,67.08798,-157.856719,0,"1,176",0,0,0,0,0,0,0,0,0,"1,176",0,0,"1,176",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Anchorage 1,Anchorage Municipal Light and Power,Anchorage,61.2221,-149.8661,0,57,"14,680",0,0,0,0,0,0,0,0,"14,737",0,0,"14,737",0,0.0%,0.4%,99.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Angoon,"Inside Passage Elec Coop, Inc",Hoonah-Angoon,57.499166,-134.58614,0,"1,612",0,0,0,0,0,0,0,0,0,"1,612",0,0,"1,612",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Aniak,Aniak Light & Power Co Inc,Bethel,61.580678,-159.535643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Annex Creek,Alaska Electric Light&Power Co,Juneau,58.3176,-134.101,0,0,0,0,"26,761",0,0,0,0,0,0,0,"26,761",0,0,"26,761",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AK,Auke Bay,Alaska Electric Light&Power Co,Juneau,58.3875,-134.6446,0,(132),0,0,0,0,0,0,0,0,0,(132),0,0,(132),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Aurora Energy LLC Chena,Golden Valley Elec Assn Inc,Fairbanks North Star,64.847743,-147.735063,"186,691",0,0,0,0,0,0,0,0,0,0,"186,691",0,0,"186,691",0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Barrow,"Barrow Utils & Elec Coop, Inc",North Slope,71.292,-156.7786,0,3,"47,564",0,0,0,0,0,0,0,0,"47,567",0,0,"47,567",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Battery Energy Storage System,Golden Valley Elec Assn Inc,Fairbanks North Star,64.8167,-147.725,0,0,0,0,0,0,0,0,0,0,"(3,280)","(3,280)",0,0,"(3,280)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Beaver Falls,Ketchikan Public Utilities,Ketchikan Gateway,55.37975,-131.470269,0,0,0,0,"35,139",0,0,0,0,0,0,0,"35,139",0,0,"35,139",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AK,Beluga,Chugach Electric Assn Inc,Kenai Peninsula,61.1861,-151.0356,0,0,"55,031",0,0,0,0,0,0,0,0,"55,031",0,0,"55,031",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Bernice Lake,Alaska Electric & Energy Coop,Kenai Peninsula,60.6935,-151.3874,0,0,"6,009",0,0,0,0,0,0,0,0,"6,009",0,0,"6,009",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Bethel,"Alaska Village Elec Coop, Inc",Bethel,60.7897,-161.787778,0,"42,506",0,0,0,0,0,0,0,0,0,"42,506",0,0,"42,506",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Black Bear Lake,Alaska Power and Telephone Co,Prince of Wales-Hyder,55.476472,-133.14772,0,0,0,0,"19,976",0,0,0,0,0,0,0,"19,976",0,0,"19,976",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AK,Blue Lake Hydro,City & Borough of Sitka - (AK),Sitka,57.0516,-135.2297,0,0,0,0,"59,458",0,0,0,0,0,0,0,"59,458",0,0,"59,458",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AK,Bradley Lake,Alaska Electric & Energy Coop,Kenai Peninsula,59.77862,-150.94015,0,0,0,0,"413,592",0,0,0,0,0,0,0,"413,592",0,0,"413,592",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AK,Brevig Mission,"Alaska Village Elec Coop, Inc",Nome,65.331716,-166.479506,0,"1,188",0,0,0,0,0,0,0,0,0,"1,188",0,0,"1,188",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Centennial,Metlakatla Power & Light,Prince of Wales-Hyder,55.121433,-131.560267,0,"2,464",0,0,0,0,0,0,0,0,0,"2,464",0,0,"2,464",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Chester Lake,Metlakatla Power & Light,Prince of Wales-Hyder,55.116879,-131.545879,0,0,0,0,"5,809",0,0,0,0,0,0,0,"5,809",0,0,"5,809",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AK,Chevak,"Alaska Village Elec Coop, Inc",Bethel,61.525297,-165.590152,0,"2,395",0,0,0,0,0,0,0,0,0,"2,395",0,0,"2,395",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Cooper Lake,Chugach Electric Assn Inc,Kenai Peninsula,60.392331,-149.665603,0,0,0,0,"46,102",0,0,0,0,0,0,0,"46,102",0,0,"46,102",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AK,Craig (AK),Alaska Power and Telephone Co,Prince of Wales-Hyder,55.47691,-133.14869,0,461,0,0,0,0,0,0,0,0,0,461,0,0,461,0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Delta Power,Golden Valley Elec Assn Inc,Southeast Fairbanks,64.028056,-145.719444,0,(133),0,0,0,0,0,0,0,0,0,(133),0,0,(133),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Delta Wind Farm,Golden Valley Elec Assn Inc,Southeast Fairbanks,64.013889,-145.596667,0,0,0,0,0,0,"3,970",0,0,0,0,0,"3,970","3,970",0,"3,970",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%
AK,Dillingham,"Nushagak Electric Coop, Inc",Dillingham,59.042914,-158.468597,0,"18,663",0,0,0,0,0,0,0,0,0,"18,663",0,0,"18,663",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Dutch Harbor,City of Unalaska - (AK),Aleutians West,53.892459,-166.538185,0,"52,998",0,0,0,0,0,0,0,0,0,"52,998",0,0,"52,998",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Eielson AFB Central Heat & Power Plant,Golden Valley Elec Assn Inc,Fairbanks North Star,64.67141,-147.075988,"69,081",277,0,0,0,0,0,0,0,0,0,"69,358",0,0,"69,358",0,99.6%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Eklutna Generation Station,Matanuska Electric Assn Inc,Anchorage,61.457778,-149.351389,0,0,"723,815",0,0,0,0,0,0,0,0,"723,815",0,0,"723,815",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Eklutna Hydro Project,Chugach Electric Assn Inc,Matanuska Susitna,61.475211,-149.15009,0,0,0,0,"190,971",0,0,0,0,0,0,0,"190,971",0,0,"190,971",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AK,Elim,"Alaska Village Elec Coop, Inc",Nome,64.616558,-162.263717,0,"1,271",0,0,0,0,0,0,0,0,0,"1,271",0,0,"1,271",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Emmonak,"Alaska Village Elec Coop, Inc",Wade Hampton,62.777694,-164.531517,0,"5,838",0,0,0,0,0,0,0,0,0,"5,838",0,0,"5,838",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,ESS Battery Microgrid,Kodiak Electric Assn Inc,Kodiak Island,57.799167,-152.404167,0,0,0,0,0,0,0,0,0,0,(240),(240),0,0,(240),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Eva Creek Wind,Golden Valley Elec Assn Inc,Denali,64.058333,-148.9,0,0,0,0,0,0,"60,106",0,0,0,0,0,"60,106","60,106",0,"60,106",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%
AK,Eyak Service Center BESS,"Cordova Electric Coop, Inc",Valdez Cordova,60.54047,-145.74079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Fairbanks,Golden Valley Elec Assn Inc,Fairbanks North Star,64.854171,-147.719351,0,"7,685",0,0,0,0,0,0,0,0,0,"7,685",0,0,"7,685",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,False Island,Alaska Power and Telephone Co,Prince of Wales-Hyder,55.48918,-133.1345,0,"1,713",0,0,0,0,0,0,0,0,0,"1,713",0,0,"1,713",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Fire Island Wind,Chugach Electric Assn Inc,Anchorage,61.13,-150.243611,0,0,0,0,0,0,"48,221",0,0,0,0,0,"48,221","48,221",0,"48,221",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%
AK,Flywheel Energy Storage System Microgrid,Kodiak Electric Assn Inc,Kodiak Island,57.780114,-152.443783,0,0,0,0,0,0,0,0,0,0,(375),(375),0,0,(375),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Fort Greely Power Plant,Golden Valley Elec Assn Inc,Southeast Fairbanks,63.973572,-145.716581,0,66,0,0,0,0,0,0,0,0,0,66,0,0,66,0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Galena Electric Utility,Galena Electric Utility,Yukon Koyukuk,64.74417,-156.8736,0,"5,886",0,0,0,0,0,0,0,0,0,"5,886",0,0,"5,886",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Gambell,"Alaska Village Elec Coop, Inc",Nome,63.777058,-171.712439,0,"1,932",0,0,0,0,0,0,0,0,0,"1,932",0,0,"1,932",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,George M Sullivan Generation Plant 2,Anchorage Municipal Light and Power,Anchorage,61.229713,-149.716744,0,1,"626,188",0,0,0,0,0,0,0,0,"626,189",0,0,"626,189",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Glennallen,"Copper Valley Elec Assn, Inc",Valdez Cordova,62.110415,-145.532529,0,"2,958",0,0,0,0,0,0,0,0,0,"2,958",0,0,"2,958",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Goat Lake Hydro,Alaska Power and Telephone Co,Skagway,59.5357,-135.2123,0,0,0,0,"15,420",0,0,0,0,0,0,0,"15,420",0,0,"15,420",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AK,Gold Creek,Alaska Electric Light&Power Co,Juneau,58.3107,-134.4174,0,3,0,0,366,0,0,0,0,0,0,3,366,0,3,366,0.0%,0.8%,0.0%,0.0%,99.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.8%,99.2%,0.0%,0.8%,99.2%
AK,Green Lake,City & Borough of Sitka - (AK),Sitka,56.986284,-135.12275,0,0,0,0,"51,134",0,0,0,0,0,0,0,"51,134",0,0,"51,134",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AK,Gwitchyaa Zhee,Gwitchyaa Zhee Utility Co,Yukon Koyukuk,66.566287,-145.253052,0,"2,091",0,0,0,0,0,0,0,0,0,"2,091",0,0,"2,091",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Haines,Alaska Power and Telephone Co,Haines,59.235931,-135.446228,0,(72),0,0,0,0,0,0,0,0,0,(72),0,0,(72),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Healy,Golden Valley Elec Assn Inc,Denali,63.8542,-148.95,"334,302","10,258",0,0,0,0,0,0,0,0,0,"344,560",0,0,"344,560",0,97.0%,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Hiilangaay Hydro,Alaska Power and Telephone Co,Prince of Wales-Hyder,55.216389,-132.603611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Hoonah,"Inside Passage Elec Coop, Inc",Hoonah-Angoon,58.106432,-135.43074,0,"4,437",0,0,0,0,0,0,0,0,0,"4,437",0,0,"4,437",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Hooper Bay,"Alaska Village Elec Coop, Inc",Bethel,61.530858,-166.101944,0,"3,347",0,0,0,0,0,0,0,0,0,"3,347",0,0,"3,347",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Humpback Creek,"Cordova Electric Coop, Inc",Valdez Cordova,60.612822,-145.679411,0,0,0,0,"3,158",0,0,0,0,0,0,0,"3,158",0,0,"3,158",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AK,Hydaburg,Alaska Power and Telephone Co,Prince of Wales-Hyder,55.204937,-132.821435,0,(26),0,0,0,0,0,0,0,0,0,(26),0,0,(26),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Industrial Plant,Alaska Electric Light&Power Co,Juneau,58.367635,-134.60802,0,318,0,0,0,0,0,0,0,0,0,318,0,0,318,0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,International,Chugach Electric Assn Inc,Anchorage,61.168972,-149.911038,0,0,48,0,0,0,0,0,0,0,0,48,0,0,48,0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Jarvis Street,City & Borough of Sitka - (AK),Sitka,57.0497,-135.3128,0,(665),0,0,0,0,0,0,0,0,0,(665),0,0,(665),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,JBER Landfill Gas Power Plant,Anchorage Municipal Light and Power,Anchorage,61.286,-149.61,0,0,14,0,0,"36,884",0,0,0,0,0,14,"36,884","36,884","36,898",0,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,0.0%
AK,Kake,"Inside Passage Elec Coop, Inc",Petersburg,56.962983,-133.922557,0,"2,139",0,0,0,0,0,0,0,0,0,"2,139",0,0,"2,139",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Kasidaya Creek Hydro,Alaska Power and Telephone Co,Skagway,59.4072,-135.3408,0,0,0,0,"10,741",0,0,0,0,0,0,0,"10,741",0,0,"10,741",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AK,Kasigluk,"Alaska Village Elec Coop, Inc",Bethel,60.8731,-162.5197,0,"2,879",0,0,0,0,0,0,0,0,0,"2,879",0,0,"2,879",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Ketchikan,Ketchikan Public Utilities,Ketchikan Gateway,55.344641,-131.633425,0,0,0,0,"19,815",0,0,0,0,0,0,0,"19,815",0,0,"19,815",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AK,Kiana,"Alaska Village Elec Coop, Inc",Northwest Arctic,66.973889,-160.428592,0,"1,620",0,0,0,0,0,0,0,0,0,"1,620",0,0,"1,620",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,King Cove,City of King Cove,Aleutians East,55.061683,-162.3103,0,591,0,0,"3,497",0,0,0,0,0,0,591,"3,497",0,591,"3,497",0.0%,14.5%,0.0%,0.0%,85.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.5%,85.5%,0.0%,14.5%,85.5%
AK,Kivalina,"Alaska Village Elec Coop, Inc",Northwest Arctic,67.726644,-164.538447,0,"1,634",0,0,0,0,0,0,0,0,0,"1,634",0,0,"1,634",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Klawock,0,Prince of Wales-Hyder,55.557778,-132.981389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Klawock Power Generation Station,Alaska Power and Telephone Co,Prince of Wales-Hyder,55.553197,-133.08535,0,"1,944",0,0,0,0,0,0,0,0,0,"1,944",0,0,"1,944",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Kodiak Microgrid,Kodiak Electric Assn Inc,Kodiak Island,57.789956,-152.396982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Kotlik,"Alaska Village Elec Coop, Inc",Wade Hampton,63.03215,-163.553106,0,"1,965",0,0,0,0,0,0,0,0,0,"1,965",0,0,"1,965",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Kotzebue Hybrid,Kotzebue Electric Assn Inc,NORTHWEST ARCTIC,66.837778,-162.556944,0,"20,368",0,0,0,0,"1,789",0,0,0,(7),"20,361","1,789","1,789","20,361","1,789",0.0%,91.9%,0.0%,0.0%,0.0%,0.0%,8.1%,0.0%,0.0%,0.0%,0.0%,91.9%,8.1%,8.1%,91.9%,8.1%
AK,Koyuk,"Alaska Village Elec Coop, Inc",Nome,64.932089,-161.167103,0,"1,249",0,0,0,0,0,0,0,0,0,"1,249",0,0,"1,249",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Lake Dorothy Hydroelectric Project,Alaska Electric Light&Power Co,Juneau,58.2325,-134.0533,0,0,0,0,"67,932",0,0,0,0,0,0,0,"67,932",0,0,"67,932",0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%
AK,Lemon Creek,Alaska Electric Light&Power Co,Juneau,58.3536,-134.4953,0,"1,050",0,0,0,0,0,0,0,0,0,"1,050",0,0,"1,050",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Mahoney Lake Hydroelectric,Ketchikan Public Utilities,Ketchikan Gateway,55.419444,-131.537778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Marshall,"Alaska Village Elec Coop, Inc",Wade Hampton,61.878186,-162.085147,0,"1,422",0,0,0,0,0,0,0,0,0,"1,422",0,0,"1,422",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,McGrath,McGrath Light & Power Co,Yukon Koyukuk,62.95699,-155.594997,0,"1,556",0,0,0,0,0,0,0,0,0,"1,556",0,0,"1,556",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Mountain Village,"Alaska Village Elec Coop, Inc",Bethel,62.085569,-163.729072,0,"2,595",0,0,0,0,0,0,0,0,0,"2,595",0,0,"2,595",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Naknek,"Naknek Electric Assn, Inc",Bristol Bay,58.730417,-157.007222,0,"25,378",0,0,0,0,0,0,0,0,0,"25,378",0,0,"25,378",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,New Stuyahok,"Alaska Village Elec Coop, Inc",Dillingham,59.448358,-157.325528,0,"1,789",0,0,0,0,0,0,0,0,0,"1,789",0,0,"1,789",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Newhalen,"I-N-N Electric Coop, Inc",Lake and Peninsula,59.899054,-154.698735,0,56,0,0,"3,332",0,0,0,0,0,0,56,"3,332",0,56,"3,332",0.0%,1.7%,0.0%,0.0%,98.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.7%,98.3%,0.0%,1.7%,98.3%
AK,Nikiski Combined Cycle,Alaska Electric & Energy Coop,Kenai Peninsula,60.676539,-151.377713,0,0,"239,545",0,0,0,0,0,0,0,0,"239,545",0,0,"239,545",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Noatak,"Alaska Village Elec Coop, Inc",Northwest Arctic,67.570931,-162.965728,0,"1,813",0,0,0,0,0,0,0,0,0,"1,813",0,0,"1,813",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AK,Noorvik,"Alaska Village Elec Coop, Inc",Northwest Arctic,66.834519,-161.038717,0,"1,948",0,0,0,0,0,0,0,0,0,"1,948",0,0,"1,948",0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
